day,month,year,date,weekday
12,1,2010,12.01.2010,1
23,2,2010,23.02.2010,1
8,3,2010,08.03.2010,0
3,5,2010,03.05.2010,0
10,5,2010,10.05.2010,0
14,6,2010,14.06.2010,0
4,11,2010,04.11.2010,3
3,1,2011,03.01.2011,0
4,1,2011,04.01.2011,1
5,1,2011,05.01.2011,2
6,1,2011,06.01.2011,3
7,1,2011,07.01.2011,4
10,1,2011,10.01.2011,0
11,1,2011,11.01.2011,1
12,1,2011,12.01.2011,2
23,2,2011,23.02.2011,2
8,3,2011,08.03.2011,1
2,5,2011,02.05.2011,0
9,5,2011,09.05.2011,0
13,6,2011,13.06.2011,0
4,11,2011,04.11.2011,4
2,1,2012,02.01.2012,0
3,1,2012,03.01.2012,1
4,1,2012,04.01.2012,2
5,1,2012,05.01.2012,3
6,1,2012,06.01.2012,4
9,1,2012,09.01.2012,0
10,1,2012,10.01.2012,1
11,1,2012,11.01.2012,2
23,2,2012,23.02.2012,3
8,3,2012,08.03.2012,3
1,5,2012,01.05.2012,1
9,5,2012,09.05.2012,2
12,6,2012,12.06.2012,1
5,11,2012,05.11.2012,0
1,1,2013,01.01.2013,1
2,1,2013,02.01.2013,2
3,1,2013,03.01.2013,3
4,1,2013,04.01.2013,4
7,1,2013,07.01.2013,0
8,1,2013,08.01.2013,1
9,1,2013,09.01.2013,2
10,1,2013,10.01.2013,3
25,2,2013,25.02.2013,0
8,3,2013,08.03.2013,4
1,5,2013,01.05.2013,2
9,5,2013,09.05.2013,3
12,6,2013,12.06.2013,2
4,11,2013,04.11.2013,0
1,1,2014,01.01.2014,2
2,1,2014,02.01.2014,3
3,1,2014,03.01.2014,4
6,1,2014,06.01.2014,0
7,1,2014,07.01.2014,1
8,1,2014,08.01.2014,2
9,1,2014,09.01.2014,3
10,1,2014,10.01.2014,4
24,2,2014,24.02.2014,0
10,3,2014,10.03.2014,0
1,5,2014,01.05.2014,3
9,5,2014,09.05.2014,4
12,6,2014,12.06.2014,3
4,11,2014,04.11.2014,1
1,1,2015,01.01.2015,3
2,1,2015,02.01.2015,4
5,1,2015,05.01.2015,0
6,1,2015,06.01.2015,1
7,1,2015,07.01.2015,2
8,1,2015,08.01.2015,3
9,1,2015,09.01.2015,4
23,2,2015,23.02.2015,0
9,3,2015,09.03.2015,0
1,5,2015,01.05.2015,4
4,5,2015,04.05.2015,0
11,5,2015,11.05.2015,0
12,6,2015,12.06.2015,4
4,11,2015,04.11.2015,2
1,1,2016,01.01.2016,4
4,1,2016,04.01.2016,0
5,1,2016,05.01.2016,1
6,1,2016,06.01.2016,2
7,1,2016,07.01.2016,3
8,1,2016,08.01.2016,4
22,2,2016,22.02.2016,0
23,2,2016,23.02.2016,1
7,3,2016,07.03.2016,0
8,3,2016,08.03.2016,1
2,5,2016,02.05.2016,0
3,5,2016,03.05.2016,1
9,5,2016,09.05.2016,0
13,6,2016,13.06.2016,0
4,11,2016,04.11.2016,4
2,1,2017,02.01.2017,0
3,1,2017,03.01.2017,1
4,1,2017,04.01.2017,2
5,1,2017,05.01.2017,3
6,1,2017,06.01.2017,4
23,2,2017,23.02.2017,3
24,2,2017,24.02.2017,4
8,3,2017,08.03.2017,2
1,5,2017,01.05.2017,0
8,5,2017,08.05.2017,0
